Unique ID,Sub Variety,ITEM NAME
Bp262,Irri-6 Steam,WEIGHT LOSS
Bp263,C-9 White,FINISHED GOODS
Bp264,C-9 White,B-Q
Bp265,C-9 White,B-1
Bp266,C-9 White,B-2
Bp267,C-9 White,B-2 CSR
Bp268,C-9 White,B-3
Bp269,C-9 White,CSR
Bp270,C-9 White,CSR H/R
Bp271,C-9 White,PADDY
Bp272,C-9 White,CHOBA
Bp273,C-9 White,RICE POLISH
Bp274,C-9 White,DUST
Bp275,C-9 White,EMPTY BAGS WEIGHT
Bp276,C-9 White,EXCESS EXPORT
Bp277,C-9 White,WEIGHT LOSS
Bp278,C-9 Sela,FINISHED GOODS
Bp279,C-9 Sela,B-Q
Bp280,C-9 Sela,B-1
Bp281,C-9 Sela,B-2
Bp282,C-9 Sela,B-2 CSR
Bp283,C-9 Sela,B-3
Bp284,C-9 Sela,CSR
Bp285,C-9 Sela,CSR H/R
Bp286,C-9 Sela,PADDY
Bp287,C-9 Sela,CHOBA
Bp288,C-9 Sela,RICE POLISH
Bp289,C-9 Sela,DUST
Bp290,C-9 Sela,EMPTY BAGS WEIGHT
Bp291,C-9 Sela,EXCESS EXPORT
Bp292,C-9 Sela,WEIGHT LOSS
Bp293,C-9 Steam,FINISHED GOODS
Bp294,C-9 Steam,B-Q
Bp295,C-9 Steam,B-1
Bp296,C-9 Steam,B-2
Bp297,C-9 Steam,B-2 CSR
Bp298,C-9 Steam,B-3
Bp299,C-9 Steam,CSR
Bp300,C-9 Steam,CSR H/R
Bp301,C-9 Steam,PADDY
Bp302,C-9 Steam,CHOBA
Bp303,C-9 Steam,RICE POLISH
Bp304,C-9 Steam,DUST
Bp305,C-9 Steam,EMPTY BAGS WEIGHT
Bp306,C-9 Steam,EXCESS EXPORT
Bp307,C-9 Steam,WEIGHT LOSS
Bp308,Super Fine White,FINISHED GOODS
Bp309,Super Fine White,B-Q
Bp310,Super Fine White,B-1
Bp311,Super Fine White,B-2
Bp312,Super Fine White,B-2 CSR
Bp313,Super Fine White,B-3
Bp314,Super Fine White,CSR
Bp315,Super Fine White,PADDY
Bp316,Super Fine White,CHOBA
Bp317,Super Fine White,RICE POLISH
Bp318,Super Fine White,DUST
Bp319,Super Fine White,EMPTY BAGS WEIGHT
Bp320,Super Fine White,EXCESS EXPORT
Bp321,Super Fine White,WEIGHT LOSS
Bp322,Super Fine Sela,FINISHED GOODS
Bp323,Super Fine Sela,B-Q
Bp324,Super Fine Sela,B-1
Bp325,Super Fine Sela,B-2
Bp326,Super Fine Sela,B-2 CSR
Bp327,Super Fine Sela,B-3
Bp328,Super Fine Sela,CSR
Bp329,Super Fine Sela,PADDY
Bp330,Super Fine Sela,CHOBA
Bp331,Super Fine Sela,RICE POLISH
