CODE,DESCRIPTION
5262,"PERUM BULOG, INDONESIA"
5263,THARPARKAR SUGAR MILLS LIMITED - BAGGASSE
5264,G.H.HABIB & CO - BELTS
5265,SHEIKH ABID BROKER-KARACHI
5266,IMRAN NEW KARACHI
5267,SOHAIL MEMON
5268,"KW10 PROJECTS IKE BCO, MALTA"
5269,PAK ELECTRON LIMITED (PEL)
5270,M.A. TOOLS & EQUIPMENT HOUSE  PVT LTD
5271,ASKARI RM AC - 3400 0000 28
5272,SHAKEEL PATHAN
5273,LC23INSU0115-02788 WHEAT MBL MV QUEEN WIN 5500 TONS $1.479M
5274,LC 3001LSI300523 FBL LONGI SOLAR 585/590W 3600 PCS $304K
5275,LC 3001LSI300423 FBL LONGI SOLAR 585W 3600 PCS $303K
5276,LC 3001LSI300723 FBL LONGI SOLAR 580W 3600 PCS $301K
5277,LC 3001LSI300623 FBL LONGI SOLAR 580W 3600 PCS $301K
4153,"JF#19440 TASLIM TRADERS, HASILPUR"
4154,"JF#24737 SHADAB TRADERS, HEAD SULMANKI ROAD, HAVELI LAKHA"
4156,"JF#28609 HAMZA ARSHAD AGRI SERVICES, DEPALPUR"
4157,"JF#30913 ZULFIQAR ZARI CORPORATION AKBER ROAD, OKARA"
4159,"JF#31119 AL NAQASHBAND TRADERS, PAKPATTAN"
4160,"JF#31395 KISSAN TRADERS, KAMALIA"
4162,"JF#31513 QALANDAR LAL SHAHBAZ FERTILIZER, MHP"
4163,"JF#32333 MANZOR AHMED PESTICIDE AND FERTILIZER DEALER, JCD"
4165,"JF#32535 PAK TRADERS, PAKPATTAN"
4166,"JF#32674 HABIB ZARI SPRAY CENTRE, DEPALPUR"
4168,"JF#33258 ITTEHAD ZARAI SPRAY CENTRE, KASUR"
4169,"JF#34206 HERAN DHERAN PESTCIDE, KSMR"
4171,"JF#34628 ABDUL NABI ZARI MARKAZ, JCD"
4173,"JF#34820 NAJAF ZARI SERVICES, KHAIR PUR TAMIWALI"
4174,"JF#34963 ABBAS BROTEHRS AGRI VISION, OKARA"
4176,"JF#35078 MUZAMMIL ZARI MARKAZ, SKT"
4177,"JF#35096 RAFIQUE SPRAY CENTER, KASUR"
4179,"JF#81603 ABDUL GHAFOOR & SONS, LODHRAN"
4180,"JF#8412 KISSAN ZARI SERVICES, LAYYAHA"
4182,"JF#9520 JALBANI ZARI SERVICES, DGK"
4183,"JF#9704 MOLVI BROTHERS, DGK"
4185,PERAC RESEARCH & DEVELOPMENT FOUNDATION
4186,"J.N.S. IMPORTS AND INTERNATIOAL TRADING PVT LTD, SRI LANKA"
4187,ALLIANCE SUGAR MILLS LIMITED - MDF BAGGASE
789,SUSPENSE
4189,COST OF SUPRI/LAL 386 (EXPORT)
4191,SUPRI/LAL 386 RICE EXPORT SALE
4193,MUGHAL RICE STOCK (UNPACK PQ SJD)
4194,PLASTIPACK MACHINES PVT LTD - PQ INDUCTION SEAL
4195,SILK ROUTE CORPORATION (YELLOW PEAS)
4196,MEHRAN SUGAR MILLS LTD - BAGGASSE
4197,FARAN SUGAR MILLS LIMITED - BAGGASE
4200,TCS PVT LTD (COURIER)
4201,STOCK IN HAND ADJUSTMENT
4203,IRRI-6 BROWN
4204,IRRI-9 BROWN
4206,KS-282 SELA
4209,386 BROWN
4212,SUPRI
4214,JILANI INTERPRISES
4215,FARAZ TRADERS
4217,SACHA SODA BROKER
4219,SHAHID MEHMOOD
4220,GARIB NAWAZ ATTA CHAKI
4222,M BASHIR GHANCHI
4224,MUHAMMAD FASIL REHMAN
4225,SACHA SODA BROKER(JAY RAM DAS)
4227,GUL NAWAZ JOKHIO
4228,AFTAB AHMAD MEMON
4230,ABDUL SHAKOOR PESTI
4231,DHALOMAL KIRYANA STORE
4233,HAMZA AMEEN
4234,RAJESH NABONMAL
4236,SACHA SODA BROKERS
4238,MANSOOR AHMAD
4239,ABDUL AZIZ
4241,SAHCH SODA BROKER
4242,IMTIAZ HUSSAIN SHAH
4244,SAEED AHMAD ABBASI
4246,SAJID GHAFFAR
4247,FAWAD
4248,SHAH JAHAN
4250,M NAEEM ANJUM
4252,BHAKHAT COM SHOP
4253,MA SHA ALLAHA RICE BROKER
4255,M/S SHARIF TRADERS
4256,SACHA SODA BROKER(BASHIR)
4258,MALIK ARSHAD
4259,M KHALID
4261,GARIB NAWAZ ATTA CHAKI (AMIN)
4262,GULAM MUSTAFA
4264,TULSI DAS DIA RAM
4265,BHAWAN DAS
4267,ASIF MEMON
4268,KHALSA BROKER
4270,FRIENDS TRADER
4272,ABDUL REHMAN
4274,GULAM MURTAZA
4275,AMER LAL
4277,M/S BISMILLAHA HUSSAINI TRADERS
4279,PAKISTAN TRADERS
4280,RK TRADERS
